census_tract,total_applications,approvals,approval_rate,denial_rate
00000000nan,56,7,0.125,0.875
11001000101,18,18,1.0,0.0
11001000102,46,42,0.9130434782608695,0.08695652173913049
11001000202,37,35,0.9459459459459459,0.05405405405405406
11001000300,63,60,0.9523809523809523,0.04761904761904767
11001000400,14,13,0.9285714285714286,0.0714285714285714
11001000501,22,20,0.9090909090909091,0.09090909090909094
11001000502,42,41,0.9761904761904762,0.023809523809523836
11001000600,62,59,0.9516129032258065,0.048387096774193505
11001000702,37,37,1.0,0.0
11001000703,27,24,0.8888888888888888,0.11111111111111116
11001000704,15,14,0.9333333333333333,0.06666666666666665
11001000802,42,39,0.9285714285714286,0.0714285714285714
11001000803,42,42,1.0,0.0
11001000804,44,42,0.9545454545454546,0.045454545454545414
11001000902,28,27,0.9642857142857143,0.0357142857142857
11001000903,5,5,1.0,0.0
11001000904,40,38,0.95,0.050000000000000044
11001001002,44,37,0.8409090909090909,0.15909090909090906
11001001003,25,24,0.96,0.040000000000000036
11001001004,35,33,0.9428571428571428,0.05714285714285716
11001001100,67,59,0.8805970149253731,0.11940298507462688
11001001200,42,37,0.8809523809523809,0.11904761904761907
11001001301,19,18,0.9473684210526315,0.052631578947368474
11001001303,46,43,0.9347826086956522,0.06521739130434778
11001001304,37,34,0.918918918918919,0.08108108108108103
11001001401,21,21,1.0,0.0
11001001402,37,35,0.9459459459459459,0.05405405405405406
11001001500,43,43,1.0,0.0
11001001600,79,67,0.8481012658227848,0.15189873417721522
11001001702,32,28,0.875,0.125
11001001803,7,6,0.8571428571428571,0.1428571428571429
11001001804,16,15,0.9375,0.0625
11001001901,51,41,0.803921568627451,0.196078431372549
11001001902,24,22,0.9166666666666666,0.08333333333333337
11001002001,21,20,0.9523809523809523,0.04761904761904767
11001002002,54,51,0.9444444444444444,0.05555555555555558
11001002101,82,70,0.8536585365853658,0.14634146341463417
11001002102,62,55,0.8870967741935484,0.11290322580645162
11001002201,37,34,0.918918918918919,0.08108108108108103
11001002202,57,52,0.9122807017543859,0.08771929824561409
11001002301,44,44,1.0,0.0
11001002302,3,3,1.0,0.0
